Epoch 1/300:   0%|          | 0/1 [00:00<?, ?it/s]c:\Users\omare\anaconda3\envs\.conda\Lib\site-packages\torch\nn\modules\loss.py:538: UserWarning: Using a target size (torch.Size([50])) that is different to the input size (torch.Size([50, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
                                                             
Epoch [1/300], Final Loss: 718.8173
Epoch [2/300], Final Loss: 718.8174
Epoch [3/300], Final Loss: 718.8173
Epoch [4/300], Final Loss: 718.8169
Epoch [5/300], Final Loss: 718.8164
Epoch [6/300], Final Loss: 718.8157
Epoch [7/300], Final Loss: 718.8149
Epoch [8/300], Final Loss: 718.8141
Epoch [9/300], Final Loss: 718.8134
Epoch [10/300], Final Loss: 718.8126
Epoch [11/300], Final Loss: 718.8121
Epoch [12/300], Final Loss: 718.8115
Epoch [13/300], Final Loss: 718.8109
Epoch [14/300], Final Loss: 718.8105
Epoch [15/300], Final Loss: 718.8102
Epoch [16/300], Final Loss: 718.8101
Epoch [17/300], Final Loss: 718.8101
Epoch [18/300], Final Loss: 718.8100
Epoch [19/300], Final Loss: 718.8101
Epoch [20/300], Final Loss: 718.8100
Epoch [21/300], Final Loss: 718.8101
Epoch [22/300], Final Loss: 718.8102
Epoch [23/300], Final Loss: 718.8104
Epoch [24/300], Final Loss: 718.8104
Epoch [25/300], Final Loss: 718.8105
Epoch [26/300], Final Loss: 718.8107
Epoch [27/300], Final Loss: 718.8105
Epoch [28/300], Final Loss: 718.8104
Epoch [29/300], Final Loss: 718.8105
Epoch [30/300], Final Loss: 718.8104
Epoch [31/300], Final Loss: 718.8103
Epoch [32/300], Final Loss: 718.8104
Epoch [33/300], Final Loss: 718.8103
Epoch [34/300], Final Loss: 718.8104
Epoch [35/300], Final Loss: 718.8103
Epoch [36/300], Final Loss: 718.8101
Epoch [37/300], Final Loss: 718.8101
Epoch [38/300], Final Loss: 718.8102
Epoch [39/300], Final Loss: 718.8101
Epoch [40/300], Final Loss: 718.8099
Epoch [41/300], Final Loss: 718.8099
Epoch [42/300], Final Loss: 718.8100
Epoch [43/300], Final Loss: 718.8100
Epoch [44/300], Final Loss: 718.8101
Epoch [45/300], Final Loss: 718.8099
Epoch [46/300], Final Loss: 718.8099
Epoch [47/300], Final Loss: 718.8101
Epoch [48/300], Final Loss: 718.8102
Epoch [49/300], Final Loss: 718.8101
Epoch [50/300], Final Loss: 718.8101
Epoch [51/300], Final Loss: 718.8099
Epoch [52/300], Final Loss: 718.8099
Epoch [53/300], Final Loss: 718.8101
Epoch [54/300], Final Loss: 718.8101
Epoch [55/300], Final Loss: 718.8100
Epoch [56/300], Final Loss: 718.8099
Epoch [57/300], Final Loss: 718.8101
Epoch [58/300], Final Loss: 718.8100
Epoch [59/300], Final Loss: 718.8099
Epoch [60/300], Final Loss: 718.8101
Epoch [61/300], Final Loss: 718.8100
Epoch [62/300], Final Loss: 718.8101
Epoch [63/300], Final Loss: 718.8099
Epoch [64/300], Final Loss: 718.8101
Epoch [65/300], Final Loss: 718.8100
Epoch [66/300], Final Loss: 718.8100
Epoch [67/300], Final Loss: 718.8099
Epoch [68/300], Final Loss: 718.8099
Epoch [69/300], Final Loss: 718.8099
Epoch [70/300], Final Loss: 718.8101
Epoch [71/300], Final Loss: 718.8100
Epoch [72/300], Final Loss: 718.8100
Epoch [73/300], Final Loss: 718.8099
Epoch [74/300], Final Loss: 718.8101
Epoch [75/300], Final Loss: 718.8099
Epoch [76/300], Final Loss: 718.8100
Epoch [77/300], Final Loss: 718.8099
Epoch [78/300], Final Loss: 718.8101
Epoch [79/300], Final Loss: 718.8099
Epoch [80/300], Final Loss: 718.8100
Epoch [81/300], Final Loss: 718.8100
Epoch [82/300], Final Loss: 718.8099
Epoch [83/300], Final Loss: 718.8101
Epoch [84/300], Final Loss: 718.8100
Epoch [85/300], Final Loss: 718.8099
Epoch [86/300], Final Loss: 718.8099
Epoch [87/300], Final Loss: 718.8099
Epoch [88/300], Final Loss: 718.8101
Epoch [89/300], Final Loss: 718.8099
Epoch [90/300], Final Loss: 718.8099
Epoch [91/300], Final Loss: 718.8099
Epoch [92/300], Final Loss: 718.8100
Epoch [93/300], Final Loss: 718.8098
Epoch [94/300], Final Loss: 718.8100
Epoch [95/300], Final Loss: 718.8099
Epoch [96/300], Final Loss: 718.8099
Epoch [97/300], Final Loss: 718.8100
Epoch [98/300], Final Loss: 718.8101
Epoch [99/300], Final Loss: 718.8100
Epoch [100/300], Final Loss: 718.8100
Epoch [101/300], Final Loss: 718.8101
Epoch [102/300], Final Loss: 718.8099
Epoch [103/300], Final Loss: 718.8101
Epoch [104/300], Final Loss: 718.8099
Epoch [105/300], Final Loss: 718.8100
Epoch [106/300], Final Loss: 718.8101
Epoch [107/300], Final Loss: 718.8100
Epoch [108/300], Final Loss: 718.8099
Epoch [109/300], Final Loss: 718.8101
Epoch [110/300], Final Loss: 718.8101
Epoch [111/300], Final Loss: 718.8099
Epoch [112/300], Final Loss: 718.8099
Epoch [113/300], Final Loss: 718.8100
Epoch [114/300], Final Loss: 718.8100
Epoch [115/300], Final Loss: 718.8101
Epoch [116/300], Final Loss: 718.8101
Epoch [117/300], Final Loss: 718.8099
Epoch [118/300], Final Loss: 718.8099
Epoch [119/300], Final Loss: 718.8099
Epoch [120/300], Final Loss: 718.8101
Epoch [121/300], Final Loss: 718.8099
Epoch [122/300], Final Loss: 718.8099
Epoch [123/300], Final Loss: 718.8101
Epoch [124/300], Final Loss: 718.8099
Epoch [125/300], Final Loss: 718.8100
Epoch [126/300], Final Loss: 718.8100
Epoch [127/300], Final Loss: 718.8099
Epoch [128/300], Final Loss: 718.8101
Epoch [129/300], Final Loss: 718.8101
Epoch [130/300], Final Loss: 718.8100
Epoch [131/300], Final Loss: 718.8100
Epoch [132/300], Final Loss: 718.8101
Epoch [133/300], Final Loss: 718.8100
Epoch [134/300], Final Loss: 718.8100
Epoch [135/300], Final Loss: 718.8099
Epoch [136/300], Final Loss: 718.8100
Epoch [137/300], Final Loss: 718.8099
Epoch [138/300], Final Loss: 718.8100
Epoch [139/300], Final Loss: 718.8099
Epoch [140/300], Final Loss: 718.8101
Epoch [141/300], Final Loss: 718.8099
Epoch [142/300], Final Loss: 718.8100
Epoch [143/300], Final Loss: 718.8100
Epoch [144/300], Final Loss: 718.8099
Epoch [145/300], Final Loss: 718.8099
Epoch [146/300], Final Loss: 718.8099
Epoch [147/300], Final Loss: 718.8100
Epoch [148/300], Final Loss: 718.8101
Epoch [149/300], Final Loss: 718.8099
Epoch [150/300], Final Loss: 718.8099
Epoch [151/300], Final Loss: 718.8100
Epoch [152/300], Final Loss: 718.8100
Epoch [153/300], Final Loss: 718.8099
Epoch [154/300], Final Loss: 718.8099
Epoch [155/300], Final Loss: 718.8101
Epoch [156/300], Final Loss: 718.8101
Epoch [157/300], Final Loss: 718.8100
Epoch [158/300], Final Loss: 718.8099
Epoch [159/300], Final Loss: 718.8101
Epoch [160/300], Final Loss: 718.8100
Epoch [161/300], Final Loss: 718.8101
Epoch [162/300], Final Loss: 718.8099
Epoch [163/300], Final Loss: 718.8100
Epoch [164/300], Final Loss: 718.8101
Epoch [165/300], Final Loss: 718.8100
Epoch [166/300], Final Loss: 718.8100
Epoch [167/300], Final Loss: 718.8101
Epoch [168/300], Final Loss: 718.8101
Epoch [169/300], Final Loss: 718.8101
Epoch [170/300], Final Loss: 718.8101
Epoch [171/300], Final Loss: 718.8101
Epoch [172/300], Final Loss: 718.8100
Epoch [173/300], Final Loss: 718.8101
Epoch [174/300], Final Loss: 718.8100
Epoch [175/300], Final Loss: 718.8099
Epoch [176/300], Final Loss: 718.8099
Epoch [177/300], Final Loss: 718.8100
Epoch [178/300], Final Loss: 718.8099
Epoch [179/300], Final Loss: 718.8100
Epoch [180/300], Final Loss: 718.8100
Epoch [181/300], Final Loss: 718.8100
Epoch [182/300], Final Loss: 718.8099
Epoch [183/300], Final Loss: 718.8100
Epoch [184/300], Final Loss: 718.8101
Epoch [185/300], Final Loss: 718.8099
Epoch [186/300], Final Loss: 718.8099
Epoch [187/300], Final Loss: 718.8100
Epoch [188/300], Final Loss: 718.8099
Epoch [189/300], Final Loss: 718.8100
Epoch [190/300], Final Loss: 718.8101
Epoch [191/300], Final Loss: 718.8100
Epoch [192/300], Final Loss: 718.8099
Epoch [193/300], Final Loss: 718.8099
Epoch [194/300], Final Loss: 718.8100
Epoch [195/300], Final Loss: 718.8100
Epoch [196/300], Final Loss: 718.8099
Epoch [197/300], Final Loss: 718.8100
Epoch [198/300], Final Loss: 718.8099
Epoch [199/300], Final Loss: 718.8100
Epoch [200/300], Final Loss: 718.8099
Epoch [201/300], Final Loss: 718.8099
Epoch [202/300], Final Loss: 718.8100
Epoch [203/300], Final Loss: 718.8099
Epoch [204/300], Final Loss: 718.8100
Epoch [205/300], Final Loss: 718.8100
Epoch [206/300], Final Loss: 718.8101
Epoch [207/300], Final Loss: 718.8100
Epoch [208/300], Final Loss: 718.8100
Epoch [209/300], Final Loss: 718.8101
Epoch [210/300], Final Loss: 718.8100
Epoch [211/300], Final Loss: 718.8101
Epoch [212/300], Final Loss: 718.8099
Epoch [213/300], Final Loss: 718.8099
Epoch [214/300], Final Loss: 718.8100
Epoch [215/300], Final Loss: 718.8100
Epoch [216/300], Final Loss: 718.8100
Epoch [217/300], Final Loss: 718.8101
Epoch [218/300], Final Loss: 718.8099
Epoch [219/300], Final Loss: 718.8100
Epoch [220/300], Final Loss: 718.8100
Epoch [221/300], Final Loss: 718.8100
Epoch [222/300], Final Loss: 718.8100
Epoch [223/300], Final Loss: 718.8101
Epoch [224/300], Final Loss: 718.8100
Epoch [225/300], Final Loss: 718.8099
Epoch [226/300], Final Loss: 718.8101
Epoch [227/300], Final Loss: 718.8099
Epoch [228/300], Final Loss: 718.8101
Epoch [229/300], Final Loss: 718.8099
Epoch [230/300], Final Loss: 718.8101
Epoch [231/300], Final Loss: 718.8100
Epoch [232/300], Final Loss: 718.8099
Epoch [233/300], Final Loss: 718.8099
Epoch [234/300], Final Loss: 718.8099
Epoch [235/300], Final Loss: 718.8100
Epoch [236/300], Final Loss: 718.8100
Epoch [237/300], Final Loss: 718.8100
Epoch [238/300], Final Loss: 718.8101
Epoch [239/300], Final Loss: 718.8100
Epoch [240/300], Final Loss: 718.8099
Epoch [241/300], Final Loss: 718.8099
Epoch [242/300], Final Loss: 718.8099
Epoch [243/300], Final Loss: 718.8100
Epoch [244/300], Final Loss: 718.8100
Epoch [245/300], Final Loss: 718.8100
Epoch [246/300], Final Loss: 718.8100
Epoch [247/300], Final Loss: 718.8100
Epoch [248/300], Final Loss: 718.8101
Epoch [249/300], Final Loss: 718.8100
Epoch [250/300], Final Loss: 718.8100
Epoch [251/300], Final Loss: 718.8099
Epoch [252/300], Final Loss: 718.8101
Epoch [253/300], Final Loss: 718.8099
Epoch [254/300], Final Loss: 718.8100
Epoch [255/300], Final Loss: 718.8099
Epoch [256/300], Final Loss: 718.8101
Epoch [257/300], Final Loss: 718.8101
Epoch [258/300], Final Loss: 718.8101
Epoch [259/300], Final Loss: 718.8100
Epoch [260/300], Final Loss: 718.8100
Epoch [261/300], Final Loss: 718.8100
Epoch [262/300], Final Loss: 718.8100
Epoch [263/300], Final Loss: 718.8099
Epoch [264/300], Final Loss: 718.8100
Epoch [265/300], Final Loss: 718.8100
Epoch [266/300], Final Loss: 718.8099
Epoch [267/300], Final Loss: 718.8099
Epoch [268/300], Final Loss: 718.8100
Epoch [269/300], Final Loss: 718.8099
Epoch [270/300], Final Loss: 718.8099
Epoch [271/300], Final Loss: 718.8099
Epoch [272/300], Final Loss: 718.8101
Epoch [273/300], Final Loss: 718.8100
Epoch [274/300], Final Loss: 718.8101
Epoch [275/300], Final Loss: 718.8100
Epoch [276/300], Final Loss: 718.8099
Epoch [277/300], Final Loss: 718.8099
Epoch [278/300], Final Loss: 718.8099
Epoch [279/300], Final Loss: 718.8099
Epoch [280/300], Final Loss: 718.8099
Epoch [281/300], Final Loss: 718.8101
Epoch [282/300], Final Loss: 718.8100
Epoch [283/300], Final Loss: 718.8100
Epoch [284/300], Final Loss: 718.8100
Epoch [285/300], Final Loss: 718.8100
Epoch [286/300], Final Loss: 718.8099
Epoch [287/300], Final Loss: 718.8099
Epoch [288/300], Final Loss: 718.8099
Epoch [289/300], Final Loss: 718.8101
Epoch [290/300], Final Loss: 718.8099
Epoch [291/300], Final Loss: 718.8099
Epoch [292/300], Final Loss: 718.8099
Epoch [293/300], Final Loss: 718.8099
Epoch [294/300], Final Loss: 718.8100
Epoch [295/300], Final Loss: 718.8100
Epoch [296/300], Final Loss: 718.8099
